2025-03-12 13:24:10.5135 | INFO | Executed endpoint 'FullDemo.Controllers.UsersController.Login (FullDemo)' 
2025-03-12 13:24:10.5135 | INFO | Request finished HTTP/1.1 POST http://localhost:5115/api/Users/login application/json 58 - 400 - application/json;+charset=utf-8 18.0889ms 
2025-03-12 13:24:55.1492 | INFO | Request starting HTTP/1.1 GET http://localhost:5115/swagger/index.html - - 
2025-03-12 13:24:55.1913 | INFO | Request finished HTTP/1.1 GET http://localhost:5115/swagger/index.html - - - 200 - text/html;charset=utf-8 42.3635ms 
2025-03-12 13:24:55.2350 | INFO | Request starting HTTP/1.1 GET http://localhost:5115/_framework/aspnetcore-browser-refresh.js - - 
2025-03-12 13:24:55.2350 | INFO | Request starting HTTP/1.1 GET http://localhost:5115/_vs/browserLink - - 
2025-03-12 13:24:55.2350 | INFO | Request finished HTTP/1.1 GET http://localhost:5115/_framework/aspnetcore-browser-refresh.js - - - 200 11986 application/javascript;+charset=utf-8 0.2257ms 
2025-03-12 13:24:55.2350 | INFO | Request finished HTTP/1.1 GET http://localhost:5115/_vs/browserLink - - - 200 - text/javascript;+charset=UTF-8 11.8047ms 
2025-03-12 13:24:55.2936 | INFO | Request starting HTTP/1.1 GET http://localhost:5115/swagger/v1/swagger.json - - 
2025-03-12 13:24:55.3031 | INFO | Request finished HTTP/1.1 GET http://localhost:5115/swagger/v1/swagger.json - - - 200 - application/json;charset=utf-8 9.5919ms 
2025-03-12 13:25:13.3427 | INFO | Request starting HTTP/1.1 POST http://localhost:5115/api/Users/login application/json 58 
2025-03-12 13:25:13.3427 | INFO | Executing endpoint 'FullDemo.Controllers.UsersController.Login (FullDemo)' 
2025-03-12 13:25:13.3427 | INFO | Route matched with {action = "Login", controller = "Users"}. Executing controller action with signature Microsoft.AspNetCore.Mvc.ActionResult`1[FullDemo.Models.Response] Login(FullDemo.Models.DTO.DTOITH02) on controller FullDemo.Controllers.UsersController (FullDemo). 
2025-03-12 13:25:13.3427 | INFO | Executing action method FullDemo.Controllers.UsersController.Login (FullDemo) - Validation state: Valid 
2025-03-12 13:25:13.3427 | INFO | Executed action method FullDemo.Controllers.UsersController.Login (FullDemo), returned result Microsoft.AspNetCore.Mvc.BadRequestObjectResult in 1.935ms. 
2025-03-12 13:25:13.3427 | INFO | Executing BadRequestObjectResult, writing value of type 'FullDemo.Models.Response'. 
